
Image Name                     PID Session Name        Session#    Mem Usage
SystemSettingsBroker.exe    172816 Console                   12     17,288 K
WidgetService.exe           134524 Console                   12      8,224 K
svchost.exe                 171248 Console                   12      5,520 K
msedgewebview2.exe          142588 Console                   12      5,392 K
msedgewebview2.exe          171548 Console                   12      4,176 K
msedgewebview2.exe          146448 Console                   12      6,884 K
msedgewebview2.exe          146856 Console                   12      1,300 K
msedgewebview2.exe           47668 Console                   12         16 K
msedgewebview2.exe          168260 Console                   12      1,760 K
AMDRSSrcExt.exe             172692 Console                   12      5,428 K
ApplicationFrameHost.exe    151544 Console                   12     15,024 K
AdobeCollabSync.exe         168384 Console                   12        992 K
AdobeCollabSync.exe         135796 Console                   12      4,640 K
msedgewebview2.exe          175648 Console                   12      1,744 K
msedge.exe                  175196 Console                   12    110,856 K
msedge.exe                  158392 Console                   12      4,880 K
msedge.exe                  171384 Console                   12    150,892 K
msedge.exe                  173964 Console                   12     24,676 K
msedge.exe                   48140 Console                   12      8,632 K
msedge.exe                  175792 Console                   12     23,516 K
msedge.exe                  170228 Console                   12    111,308 K
msedge.exe                  164396 Console                   12     11,680 K
steam.exe                   175392 Console                   12     36,812 K
steamwebhelper.exe          167372 Console                   12     93,172 K
steamservice.exe            171728 Services                   0      7,872 K
steamwebhelper.exe          171520 Console                   12      5,548 K
steamwebhelper.exe          168916 Console                   12    503,932 K
steamwebhelper.exe          163080 Console                   12     16,436 K
steamwebhelper.exe          173700 Console                   12    300,384 K
steamwebhelper.exe          177784 Console                   12      8,788 K
msedge.exe                  177384 Console                   12     10,776 K
Lenovo.Modern.ImControlle   173144 Console                   12     15,724 K
svchost.exe                 181520 Console                   12      9,512 K
UniKeyNT.exe                184860 Console                   12      7,892 K
SystemSettings.exe          184952 Console                   12      2,220 K
UserOOBEBroker.exe          185832 Console                   12      7,052 K
msedge.exe                  178080 Console                   12    184,960 K
svchost.exe                 193184 Services                   0      7,432 K
svchost.exe                 191976 Services                   0     29,872 K
steamwebhelper.exe          189788 Console                   12     22,704 K
FMAudioMonitor.exe          181316 Console                   12      7,848 K
idea64.exe                  141272 Console                   12  2,125,284 K
fsnotifier.exe              183864 Console                   12      2,852 K
conhost.exe                 183512 Console                   12     10,300 K
firefox.exe                 185180 Console                   12    330,024 K
firefox.exe                 182180 Console                   12    907,144 K
firefox.exe                 187880 Console                   12     17,180 K
firefox.exe                 190880 Console                   12     77,856 K
firefox.exe                 179744 Console                   12     87,344 K
firefox.exe                 119324 Console                   12     17,232 K
firefox.exe                 152612 Console                   12    101,596 K
firefox.exe                 194576 Console                   12     82,688 K
firefox.exe                 192804 Console                   12    158,036 K
firefox.exe                 181760 Console                   12    115,376 K
firefox.exe                 181016 Console                   12     88,128 K
firefox.exe                 177576 Console                   12     49,812 K
firefox.exe                 172364 Console                   12     19,864 K
firefox.exe                 191604 Console                   12    269,328 K
firefox.exe                 196620 Console                   12    322,912 K
firefox.exe                 172296 Console                   12    116,084 K
firefox.exe                 197212 Console                   12     91,600 K
firefox.exe                 196376 Console                   12     45,952 K
firefox.exe                 183660 Console                   12    137,024 K
firefox.exe                 129080 Console                   12     82,968 K
firefox.exe                 196116 Console                   12     30,328 K
firefox.exe                 193784 Console                   12     30,428 K
msedge.exe                  198484 Console                   12     58,872 K
msedge.exe                  198512 Console                   12     26,856 K
firefox.exe                 197784 Console                   12     30,404 K
svchost.exe                 197864 Services                   0      7,516 K
WmiPrvSE.exe                187612 Services                   0     11,840 K
smartscreen.exe             179588 Console                   12     10,728 K
Notepad.exe                 198252 Console                   12     97,640 K
java.exe                    199660 Console                   12     47,436 K
conhost.exe                 188476 Console                   12     10,428 K
java.exe                    177136 Console                   12    119,992 K
conhost.exe                 183668 Console                   12     10,440 K
java.exe                    197848 Console                   12     45,544 K
conhost.exe                 190360 Console                   12     10,436 K
tasklist.exe                199228 Console                   12      9,264 K
conhost.exe                 199244 Console                   12     10,320 K
